Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What is your name?,Question 1 (What is your gender?),If Other (please specify),Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10
,,,,,,,,,Open-Ended Response,,,,,,,,,,,
6787830896,172310479,03/28/2018 03:59:55 PM,03/28/2018 04:06:11 PM,118.149.130.87,,,,,Jenny,2,,2,1,2,1,2,1,3,1,5
,,,,,,,,,Marceline,2,,3,1,5,5,2,3,4,5,5
,,,,,,,,,Belkis,1,,5,3,2,2,1,3,1,4,5
,,,,,,,,,Luann,1,,4,3,4,3,4,4,3,4,5
,,,,,,,,,Sidney,1,,4,4,4,5,4,5,4,5,1
,,,,,,,,,Alexia,3,,1,1,1,1,1,1,1,1,1
,,,,,,,,,Jeremiah,1,,4,3,2,2,5,4,5,2,3
,,,,,,,,,Fausto,2,,3,5,1,4,4,5,2,1,2
,,,,,,,,,Sarina,1,,4,2,3,4,5,1,2,4,4
,,,,,,,,,Aura,2,,3,3,1,2,1,3,4,5,2
,,,,,,,,,Eduardo,1,,1,2,2,4,4,4,2,3,5
,,,,,,,,,Julieta,1,,2,2,5,5,4,1,1,2,3
,,,,,,,,,Irma,1,,1,5,5,3,3,3,2,1,2
,,,,,,,,,Emanuel,1,,1,1,1,2,3,3,2,2,5
,,,,,,,,,Ervin,1,,1,2,2,2,4,4,3,3,4
,,,,,,,,,Slyvia,3,,2,3,3,1,3,2,3,2,4
,,,,,,,,,Audie,1,,2,3,3,1,3,2,2,1,3
,,,,,,,,,Charles,2,,5,5,4,5,5,4,4,5,4
,,,,,,,,,Lien,2,,2,2,1,2,4,4,5,2,3
,,,,,,,,,India,1,,1,2,1,2,3,4,4,3,2
,,,,,,,,,Trudie,1,,2,2,2,2,3,3,4,2,1
,,,,,,,,,Corie,1,,2,2,3,2,4,3,4,1,1
,,,,,,,,,Lorrine,1,,3,2,3,3,3,2,2,1,2
,,,,,,,,,Jeffie,1,,2,2,3,3,2,3,2,2,1
,,,,,,,,,Eilene,2,,5,5,4,5,5,5,4,4,5
,,,,,,,,,Xiomara,1,,2,2,3,2,3,3,2,2,1
,,,,,,,,,Denisha,2,,4,4,5,4,4,4,5,5,2
,,,,,,,,,Taylor,2,,3,3,2,4,3,2,3,3,3
,,,,,,,,,Neda,3,,2,3,4,3,4,3,2,2,4
,,,,,,,,,Rona,2,,4,4,5,4,1,1,5,4,3
